,external_gene_name,gene_biotype,kME.set1.ME,kME.set2.ME,kME.set3ME,p.kME.set1.ME,p.kME.set2.ME,p.kME.set3ME,Module
78,MSL3,protein_coding,0.9258781614694358,0.889193135102056,0.8793404770034301,3.62414793868458e-08,8.02886815519948e-07,1.53688397751589e-06,lightgreen
19225,AC018647.2,lncRNA,0.925824736677098,0.891263222198153,0.9319471900826579,3.6444733793882296e-08,6.9512188294105e-07,1.86573907742672e-08,lightgreen
11645,ZBTB41,protein_coding,0.9236917613891651,0.905273880092128,0.8897657262394941,4.54108782461233e-08,2.4130091823000197e-07,7.71728219607285e-07,lightgreen
12886,TSPYL4,protein_coding,0.9234039138949649,0.951306659554352,0.9023701651159699,4.67562434709304e-08,1.36344444376221e-09,3.04352940851224e-07,lightgreen
9532,BMT2,protein_coding,0.922980734718865,0.8432744061289158,0.8759353714431921,4.87968309833029e-08,1.10564358420964e-05,1.8988445864595299e-06,lightgreen
4513,FYTTD1,protein_coding,0.9216293394972279,0.9515258290684301,0.905110466532937,5.5839150696660495e-08,1.3160311286428e-09,2.44521909509087e-07,lightgreen
15096,FGD5-AS1,lncRNA,0.921239831368707,0.93554557359562,0.863701515100154,5.80256589680142e-08,1.22208645683079e-08,3.87058742780058e-06,lightgreen
14018,STARD7-AS1,lncRNA,0.9195740340416229,0.934743141027401,0.860325840414688,6.82355594306146e-08,1.34578439465332e-08,4.655262947130901e-06,lightgreen
11094,NMNAT1,protein_coding,0.916907888081598,0.941481615363087,0.8987396683928549,8.781967318532911e-08,5.749714380081121e-09,4.0282707732059297e-07,lightgreen
1084,PANX2,protein_coding,0.9734276474941379,0.9693023576277141,0.910130730734457,1.14994836878676e-11,3.60112623989383e-11,1.60883081805955e-07,darkorange2
12946,SEMA4D,protein_coding,0.972577172295374,0.962780812696282,0.8800326957348291,1.4756188455706698e-11,1.6473930042719898e-10,1.47107579610895e-06,darkorange2
14240,SYT3,protein_coding,0.9713217356163399,0.976497151697878,0.8220759637080299,2.10272848697137e-11,4.34903277247798e-12,2.84208583394711e-05,darkorange2
4496,CSMD2,protein_coding,0.9481766585950542,0.988038394242771,0.9010405472326409,2.2221130475804297e-09,2.0297979993071498e-14,3.37678671434155e-07,darkorange2
4080,FAAH,protein_coding,0.9440798170365431,0.9538886829790141,0.914450893439967,4.0313558424212e-09,8.88994211780871e-10,1.10001572825907e-07,darkorange2
10500,TMEM266,protein_coding,0.940550919748934,0.931819477978947,0.8645079890887549,6.5039937041535596e-09,1.8931606946703702e-08,3.70093760683347e-06,darkorange2
15461,FNDC10,protein_coding,0.9371718974149791,0.8430085490225309,0.931424508163071,1.0013080635959999e-08,1.11974738559469e-05,1.98019207218827e-08,darkorange2
844,ME1,protein_coding,0.9364188773167991,0.937368124349248,0.9374998283674041,1.09879637558867e-08,9.77173376367328e-09,9.61259389190505e-09,darkorange2
1114,SNCB,protein_coding,0.9335252136882819,0.9561098433544729,0.9482120002723271,1.5542845979301297e-08,6.03161050051004e-10,2.2102670099239997e-09,darkorange2
848,SLC9A7,protein_coding,0.9226373581240429,0.969551664527872,0.942109697029292,5.05088984803485e-08,3.37635220684923e-11,5.2847394286991905e-09,darkorange2
9571,SBSPON,protein_coding,0.916366886157435,0.884599703205493,0.962402647542126,9.233849428036449e-08,1.09463522388186e-06,1.78402658706894e-10,darkorange2
808,SLC9A3R2,protein_coding,0.916161761900914,0.898154772554824,0.9653249852100709,9.410372443188259e-08,4.2102206066365397e-07,9.4250651321894e-11,darkorange2
281,SLC7A14,protein_coding,0.9121633859020479,0.949660286979765,0.950211490778598,1.34857582194126e-07,1.76968595668676e-09,1.6233182187120499e-09,darkorange2
13591,FCHSD1,protein_coding,0.9027242418974359,0.9536370778212181,0.976640386793656,2.95973150843646e-07,9.278090510129821e-10,4.14332776170903e-12,darkorange2
3216,DDX25,protein_coding,0.8964618678440909,0.935308416803501,0.8329282088746741,4.77743120145804e-07,1.2575725479519198e-08,1.78137366413709e-05,darkorange2
7571,ARHGAP36,protein_coding,0.894246561509378,0.8283772323662679,0.856969228792301,5.6185066581981e-07,2.17532941530868e-05,5.56722668099991e-06,darkorange2
10197,RAB3IL1,protein_coding,0.8926992920291391,0.9273483540345631,0.9043425926036501,6.27913621952973e-07,3.1020449400101806e-08,2.60160030268959e-07,darkorange2
11823,TMEM151A,protein_coding,0.8859297760656801,0.917081753437919,0.9621245662994861,1.0020233252434e-06,8.640870384626781e-08,1.89069943303557e-10,darkorange2
14136,PLPP6,protein_coding,0.884781044723932,0.943001535879397,0.9120633944743242,1.0815898509852899e-06,4.68075893106261e-09,1.3604673244769303e-07,darkorange2
3758,KCNIP3,protein_coding,0.86717514699662,0.8519271097320379,0.8569275417236041,3.1845593093683997e-06,7.2237914536255495e-06,5.5794522248738e-06,darkorange2
7831,MKX,protein_coding,0.8614974834354681,0.8541515371116529,0.924478086467384,4.36873033362607e-06,6.44722208275688e-06,4.19052911702236e-08,darkorange2
9145,FBXO41,protein_coding,0.8597762077977629,0.876588557869254,0.8770262167639291,4.79514529231557e-06,1.8242253849441398e-06,1.7756525878574403e-06,darkorange2
10889,NEGR1,protein_coding,0.8353130763715341,0.856470502306391,0.8736650939350459,1.60051064763679e-05,5.7150065196194606e-06,2.17901303638544e-06,darkorange2
19641,H2BC8,protein_coding,0.832203675174488,0.847936993384954,0.894216284548355,1.83966612691401e-05,8.8187491802151e-06,5.63083369866318e-07,darkorange2
769,ADCK1,protein_coding,0.8248194833620809,0.8961353310746459,0.8048231624552611,2.5330300262053302e-05,4.89411127922451e-07,5.62292827910907e-05,darkorange2
8608,H4C8,protein_coding,0.8136631730845079,0.863618207537648,0.9175274467498531,3.998284979614679e-05,3.88848672359447e-06,8.288108321791309e-08,darkorange2
1207,MCAM,protein_coding,0.9924475651815491,0.97278589132127,0.95919780662979,5.197735945662651e-16,1.3890389946200198e-11,3.3978979701466604e-10,royalblue
12249,SPATA13,protein_coding,0.9912146488230291,0.9723891401432622,0.9231896521467671,1.7358807419127398e-15,1.5576102840595e-11,4.77799791030484e-08,royalblue
7599,TACC1,protein_coding,0.9879483847492478,0.959360255689538,0.9274798175865601,2.15465029594e-14,3.2928595781758896e-10,3.0587120259842206e-08,royalblue
6749,CYP1A1,protein_coding,0.9861691300468779,0.9345138302365049,0.9051796814283991,6.447536960388691e-14,1.3830711491309398e-08,2.4315312803824896e-07,royalblue
4414,DUSP4,protein_coding,0.985284193499448,0.947952486027948,0.9240810643964671,1.0560091541107301e-13,2.2985465530122798e-09,4.3644776344204503e-08,royalblue
5889,DAGLA,protein_coding,0.984823101659575,0.948897407873844,0.9329575405164381,1.3496852049152499e-13,1.99113687903299e-09,1.6606797200422702e-08,royalblue
17548,TRNP1,protein_coding,0.9841225209345101,0.908578345830885,0.929242880949734,1.93227092526209e-13,1.8358409274848898e-07,2.52628739849219e-08,royalblue
3119,COL1A1,protein_coding,0.9839788902438241,0.9847881272665309,0.9610336835901729,2.0756831000700699e-13,1.37461855251281e-13,2.36471530055433e-10,royalblue
1203,PAG1,protein_coding,0.9803379140031129,0.9667845476387571,0.9293808462071991,1.05609074170332e-12,6.71231642052896e-11,2.48824798988084e-08,royalblue
16654,ATP6V1B1-AS1,lncRNA,0.9781347707667192,0.9215631203482808,0.858812448972713,2.4529824001778197e-12,5.6205753917421793e-08,5.049145906268701e-06,royalblue
10378,PXDC1,protein_coding,0.977965681896902,0.9721308457053159,0.9613245750385679,2.60752531091665e-12,1.67670500806727e-11,2.229175134904e-10,royalblue
1966,TIMP3,protein_coding,0.9774890583054558,0.984191373193932,0.8252959789946059,3.08980441830288e-12,1.8666480659441898e-13,2.48239145046425e-05,royalblue
6793,KIFC3,protein_coding,0.9768403874670909,0.9615916267612808,0.97465498657982,3.87032343157913e-12,2.11075274261976e-10,7.90778171524864e-12,royalblue
8314,RHOC,protein_coding,0.974687829531693,0.9241351720526129,0.982624068315856,7.82698322989326e-12,4.34040901243552e-08,3.95696212571593e-13,royalblue
8538,SNX22,protein_coding,0.974356760434722,0.872145107047323,0.9380441858378079,8.67541739609754e-12,2.38586406580285e-06,8.97846733119124e-09,royalblue
1318,EPB41L2,protein_coding,0.972873296438687,0.9749249118986372,0.880847097851305,1.3541198978929199e-11,7.26478439632355e-12,1.3967725420601201e-06,royalblue
17054,LINC00461,lncRNA,0.972535733597342,0.891411499329879,0.9806050977453779,1.49335723421342e-11,6.879068426598071e-07,9.47390853971781e-13,royalblue
174,CYTH3,protein_coding,0.971656232425611,0.949434910749989,0.9042938829726079,1.9163649212752997e-11,1.8327600114397199e-09,2.61180533672023e-07,royalblue
17186,FAM198B-AS1,lncRNA,0.971411146759567,0.970314632726395,0.9653386046530649,2.0514286215633e-11,2.7626283544306397e-11,9.395894306864129e-11,royalblue
1974,PACSIN2,protein_coding,0.9713401856540279,0.9724035024492299,0.824145749237866,2.09205208426555e-11,1.5512104162194602e-11,2.6061329919442497e-05,royalblue
11085,NABP1,protein_coding,0.9711201384115942,0.949880982469414,0.9506360222738249,2.2225191052064202e-11,1.70976008437668e-09,1.5178797397898999e-09,royalblue
9735,VSTM4,protein_coding,0.969458838955265,0.9014058662012451,0.88598767188826,3.4585704883790607e-11,3.28222481352962e-07,9.981505191066031e-07,royalblue
10105,NCKAP5L,protein_coding,0.968475227698214,0.985824493295107,0.9571849127967859,4.44305627615695e-11,7.84220598954653e-14,4.963062766745669e-10,royalblue
8186,SEMA3D,protein_coding,0.967960326063128,0.9624501660881322,0.8377742402819051,5.04970433447094e-11,1.7663330092429902e-10,1.4305617983050301e-05,royalblue
5664,KANK4,protein_coding,0.9665222966027701,0.941012015751088,0.891686169943525,7.14228299871052e-11,6.12020452725578e-09,6.74712203929056e-07,royalblue
4240,NEK6,protein_coding,0.9651167423983441,0.954451374930873,0.952030104891486,9.88102419310563e-11,8.072642732683701e-10,1.2123507432242802e-09,royalblue
17063,AC022075.1,lncRNA,0.963707774265271,0.9576375850796971,0.8314260951229221,1.35033830779431e-10,4.56502623866896e-10,1.90403273006328e-05,royalblue
5705,MORC4,protein_coding,0.9635742898332059,0.963956353141321,0.9349957726064371,1.39000030156978e-10,1.27909997985084e-10,1.30571882060834e-08,royalblue
8300,PI4K2A,protein_coding,0.9615160161133729,0.9350443874795291,0.8966714078186641,2.1437120606970299e-10,1.2981288396727e-08,4.7038292282252703e-07,royalblue
20154,AC092919.3,TEC,0.960997876164741,0.963011355008772,0.922544414653631,2.38188575855419e-10,1.5686491424503e-10,5.09811694980907e-08,royalblue
1534,SRRT,protein_coding,0.9845541344157069,0.9567655625527092,0.949765643692808,1.5520316853965898e-13,5.35842091932295e-10,1.7408542139009804e-09,paleturquoise
2082,ERH,protein_coding,0.972274163064121,0.965302068522131,0.924661023046769,1.60967995426413e-11,9.47432743134915e-11,4.11242297277243e-08,paleturquoise
12246,EWSR1,protein_coding,0.969254700901252,0.976040338027932,0.9780301692480721,3.6455472684968e-11,5.0658333893048095e-12,2.54761166802234e-12,paleturquoise
9099,IER5,protein_coding,0.9669140718080859,0.8361423526166328,0.9191480367056779,6.50841220298597e-11,1.5414169382741e-05,7.10836642525848e-08,paleturquoise
17255,HAUS5,protein_coding,0.9623335065949671,0.8400175458290441,0.945191025798828,1.8100470214415e-10,1.2893497773774e-05,3.44549888429493e-09,paleturquoise
5125,TST,protein_coding,0.9606487373364091,0.941435868551967,0.9306040336295649,2.55508180487699e-10,5.78492805697579e-09,2.17214536771154e-08,paleturquoise
434,ZCCHC8,protein_coding,0.9605405798658571,0.950330360107097,0.945419410119088,2.61091351720324e-10,1.5931722141637198e-09,3.33472616693195e-09,paleturquoise
8875,CPSF4,protein_coding,0.960257276521437,0.9667436903005391,0.966707746193395,2.76222335135285e-10,6.77778095413713e-11,6.8358326027628e-11,paleturquoise
4231,WDR34,protein_coding,0.959204581429097,0.882606479011332,0.9280229498281991,3.39345983541234e-10,1.24720980756361e-06,2.88520089554402e-08,paleturquoise
10485,CENPX,protein_coding,0.9575076794627639,0.9294649111409891,0.8335723494628,4.676302136547501e-10,2.46531429587798e-08,1.73088237962936e-05,paleturquoise
2103,ACIN1,protein_coding,0.9541244429893821,0.9362579436032622,0.9387515118957991,8.53914113178221e-10,1.12066801270243e-08,8.208977826994709e-09,paleturquoise
10851,PPIH,protein_coding,0.951923949262328,0.9718841851628179,0.9735870749608021,1.2335651718825902e-09,1.7977719129816698e-11,1.0964480722107499e-11,paleturquoise
3793,RPS15,protein_coding,0.951174291150283,0.80791804338905,0.9450928622081199,1.39279389761318e-09,4.999972232664679e-05,3.4940851248896003e-09,paleturquoise
850,YBX1,protein_coding,0.949583137855172,0.855601102669366,0.9290416541362041,1.79106102719294e-09,5.98067918423838e-06,2.5826733104133302e-08,paleturquoise
1291,THOC1,protein_coding,0.9486615495172099,0.930001210415852,0.906010091708968,2.06430667580038e-09,2.32327637931879e-08,2.2724034483824802e-07,paleturquoise
2657,RPS16,protein_coding,0.9481205465516801,0.929186127611299,0.9107524148782701,2.2410344510014103e-09,2.5420811039047798e-08,1.5249809057084597e-07,paleturquoise
6601,RPL14P1,processed_pseudogene,0.9470894674763979,0.945256152278792,0.985213208985808,2.6145608086473105e-09,3.4135894640580998e-09,1.09721091340459e-13,paleturquoise
5486,PSMC3IP,protein_coding,0.9468933700609079,0.896284374984573,0.8922865604384391,2.69141574056805e-09,4.84055234989403e-07,6.466288534738271e-07,paleturquoise
428,RANBP3,protein_coding,0.946764336587327,0.867631749164509,0.8817072098108091,2.74305164457239e-09,3.1026832670022005e-06,1.3218319144196001e-06,paleturquoise
4949,XRCC3,protein_coding,0.9458399022040931,0.933594001630136,0.862378393986122,3.1388530877954103e-09,1.5418032945844098e-08,4.16340003042256e-06,paleturquoise
14694,AL590867.2,processed_pseudogene,0.9444195235627858,0.8932174418964691,0.8734913068555291,3.843707314848879e-09,6.05081513167007e-07,2.20185291808714e-06,paleturquoise
2857,LSM5,protein_coding,0.941133915777432,0.9489626074373901,0.928830962093153,6.02209288677472e-09,1.97131254083809e-09,2.6428782918015898e-08,paleturquoise
1728,ZC3HC1,protein_coding,0.940547076487027,0.9434970456679269,0.9473525922107842,6.5072784753140505e-09,4.3718549145017106e-09,2.5144384380042398e-09,paleturquoise
9004,MAGOH,protein_coding,0.9395420580491189,0.9589206510951851,0.961617656685562,7.4173440714332696e-09,3.58384977369053e-10,2.0995086795770103e-10,paleturquoise
11325,BANF1,protein_coding,0.938683352618476,0.9149291128331221,0.9594348635746701,8.28054349557779e-09,1.05339747468745e-07,3.2455740034928297e-10,paleturquoise
13594,RPL12,protein_coding,0.9318369703420841,0.8191173266458058,0.904272537579823,1.88938428650017e-08,3.21087787317866e-05,2.6162882508627e-07,paleturquoise
2362,MRPS31,protein_coding,0.9309247361035401,0.916725942419496,0.9579573978437629,2.0952769905846e-08,8.931753987725551e-08,4.30084735567843e-10,paleturquoise
524,TRIT1,protein_coding,0.9306707794585559,0.911826963715704,0.8607043344471079,2.1559487007498e-08,1.38894650529967e-07,4.560986045935e-06,paleturquoise
4393,EXOSC8,protein_coding,0.930066735338975,0.9489575081670492,0.969391448083027,2.30641896720781e-08,1.97285679375858e-09,3.51934907174542e-11,paleturquoise
8681,DONSON,protein_coding,0.9227040637781858,0.9220379368342378,0.8176809279862879,5.01722906186759e-08,5.36225738821147e-08,3.40415503957796e-05,paleturquoise
1694,KIF4A,protein_coding,0.991050621485208,0.992350804656611,0.9682025933409641,2.0117196452474502e-15,5.753249335194401e-16,4.75583238038412e-11,lightcyan1
4470,KIF18A,protein_coding,0.9894984839336669,0.984500011190686,0.96996239839709,7.19672459294908e-15,1.5958058600449696e-13,3.03265671665688e-11,lightcyan1
7641,CEP78,protein_coding,0.982819089640354,0.984292901593552,0.9912969990913559,3.61752756999471e-13,1.77343410787793e-13,1.6103147610267503e-15,lightcyan1
13644,TFDP1,protein_coding,0.978249393657078,0.9860454772025371,0.9332757907271702,2.3528236177745197e-12,6.92069552425712e-14,1.6002799889129697e-08,lightcyan1
3213,NCAPG,protein_coding,0.9700038459055379,0.991452546929024,0.9523452959419781,2.9997325653900996e-11,1.39464366155777e-15,1.1512210710721198e-09,lightcyan1
4106,NEK2,protein_coding,0.9674582485021509,0.9831715145318579,0.9655148646573358,5.7095404837502397e-11,3.0681900317503996e-13,9.025408023164551e-11,lightcyan1
15227,KIF4B,protein_coding,0.9674386367672241,0.983204956834653,0.917812804475188,5.73677130888799e-11,3.02006640656123e-13,8.0688601634447e-08,lightcyan1
494,SPDL1,protein_coding,0.9657566670698771,0.9715915194040258,0.9452241828503629,8.53789823505196e-11,1.9512511562215897e-11,3.4292209796521603e-09,lightcyan1
8511,CCNB2,protein_coding,0.9650864572709871,0.962280930264364,0.9565476408074671,9.94891050953304e-11,1.8300542350448802e-10,5.574493866801691e-10,lightcyan1
13708,ZNF43,protein_coding,0.964946278071603,0.9304411374174599,0.9518571223003329,1.0268455033362101e-10,2.21211803817144e-08,1.24708507409386e-09,lightcyan1
3198,NSD2,protein_coding,0.964185360559999,0.962364219457968,0.9844227454586759,1.21639156822744e-10,1.79844804734188e-10,1.6601649625954802e-13,lightcyan1
4112,CENPF,protein_coding,0.9622657836471251,0.9757246687720419,0.9230873206098481,1.83585370172723e-10,5.6194776182144505e-12,4.8275732572976505e-08,lightcyan1
6024,REPS1,protein_coding,0.961601678691876,0.9137763408617801,0.900237447169053,2.10640444092162e-10,1.16880499024037e-07,3.5929795015750204e-07,lightcyan1
6123,BORA,protein_coding,0.960922762884199,0.9869435094018171,0.976836853589013,2.41825744464201e-10,4.07625781971324e-14,3.875007461404601e-12,lightcyan1
1786,CBX5,protein_coding,0.960077372075767,0.894720357133027,0.96646079585419,2.86222419164911e-10,5.42861645453788e-07,7.246521164927641e-11,lightcyan1
2040,FKBP3,protein_coding,0.9584632073225279,0.881545312278531,0.9177069075062801,3.91017623746221e-10,1.33566697817216e-06,8.14963012265525e-08,lightcyan1
9071,KCNT2,protein_coding,0.955575295347117,0.976353441835885,0.979268497585076,6.633718918120299e-10,4.5643204135143e-12,1.60788026211757e-12,lightcyan1
11647,ARL6IP6,protein_coding,0.9522472953977179,0.95270657687872,0.9261569162006659,1.1699337065153301e-09,1.08446700586041e-09,3.51968222591025e-08,lightcyan1
8029,SPC25,protein_coding,0.9500664187659721,0.8943701617861072,0.8072495543506591,1.6607807260006902e-09,5.56842506989773e-07,5.12930257344832e-05,lightcyan1
9417,HMGB2,protein_coding,0.9490207789677391,0.9796664801107758,0.973221395890477,1.95377025083557e-09,1.37863821301955e-12,1.2225313894398802e-11,lightcyan1
1476,HACE1,protein_coding,0.9365536692642091,0.944902755575912,0.9401638060160691,1.08076371354442e-08,3.5898746686197102e-09,6.842180659558959e-09,lightcyan1
13625,NUP62CL,protein_coding,0.9359108384342221,0.9637887270282499,0.9600468500879541,1.1691319725186799e-08,1.3267684283418e-10,2.8794991259751704e-10,lightcyan1
4377,CCDC77,protein_coding,0.929427447606511,0.936800009269803,0.941509586879261,2.47551194302829e-08,1.04847116031372e-08,5.728275144602629e-09,lightcyan1
3774,CENPA,protein_coding,0.92941481157773,0.9320739177664781,0.9537679512530941,2.47895973745282e-08,1.8388702010593902e-08,9.074392537369249e-10,lightcyan1
6119,CKAP2,protein_coding,0.926766441627583,0.984199727048143,0.9732832040055021,3.30031251769252e-08,1.8588200323087302e-13,1.20037232282646e-11,lightcyan1
1191,MLH1,protein_coding,0.926703495794395,0.9441066565585269,0.901867896635865,3.3224036069433096e-08,4.0162458722274994e-09,3.1659131837161603e-07,lightcyan1
8151,UBP1,protein_coding,0.9192743022933241,0.9643480604353051,0.8468911009998271,7.022894425052579e-08,1.17348388237616e-10,9.28357071213682e-06,lightcyan1
7492,ZMYM4,protein_coding,0.917337382490192,0.986546515836579,0.921915613171837,8.4369862207849e-08,5.173551859611901e-14,5.42780169854025e-08,lightcyan1
8385,DRAM2,protein_coding,0.9171143532642241,0.886337324071088,0.9149550102471429,8.6146343996375e-08,9.75034541248586e-07,1.0509225128913e-07,lightcyan1
8132,CCDC148,protein_coding,0.9125646583619359,0.887046552418321,0.903585882109268,1.3017545477588199e-07,9.29560555075403e-07,2.7640925109857204e-07,lightcyan1
10837,RPS7,protein_coding,0.992942705912907,0.9800171433919219,0.970851279010021,3.02618217125496e-16,1.2008482200147901e-12,2.3915145315120602e-11,darkgreen
6288,RPS6,protein_coding,0.9907929949037639,0.9494376367531628,0.980549085970949,2.52244738886229e-15,1.8319855821715302e-09,9.69331335802754e-13,darkgreen
15574,RPL4P4,processed_pseudogene,0.9877605699763431,0.9347957439725592,0.9738141598436201,2.43696470842294e-14,1.33735509904953e-08,1.02399621149753e-11,darkgreen
7012,RPS8,protein_coding,0.986678979841528,0.9319551262583491,0.974064940417487,4.7817898198248203e-14,1.86404650193581e-08,9.48870082628133e-12,darkgreen
15988,RPS11P5,processed_pseudogene,0.9861301828251059,0.961292888110023,0.9616904549234441,6.59342127721737e-14,2.24360332099731e-10,2.06833880344577e-10,darkgreen
15943,RPL3P4,processed_pseudogene,0.9861162882066171,0.9026084635011139,0.95628093351162,6.64615966429112e-14,2.9869100737854197e-07,5.84922972051707e-10,darkgreen
6976,RPS11,protein_coding,0.9855096609312759,0.988553726747016,0.9802121561510059,9.339636925984531e-14,1.4293858235736498e-14,1.11091542751928e-12,darkgreen
19928,AC087633.2,transcribed_processed_pseudogene,0.9836802756745819,0.9478927285584341,0.9438045398811741,2.4039014715380604e-13,2.3193032503233203e-09,4.1892051919581e-09,darkgreen
3047,RPL19,protein_coding,0.982580836931118,0.9510271022100291,0.913231667863036,4.03586412560182e-13,1.42607339469431e-09,1.2270366417562898e-07,darkgreen
5843,RPS15A,protein_coding,0.9818938148590921,0.901648391514708,0.9568524817320601,5.48780699601834e-13,3.22071936012046e-07,5.27429545219807e-10,darkgreen
15337,AP001324.1,processed_pseudogene,0.9808841640204151,0.930579174938787,0.90018032496402,8.444128867191271e-13,2.17820454803588e-08,3.60880204471151e-07,darkgreen
16845,RPL7AP6,processed_pseudogene,0.9807613941566409,0.944993720603611,0.9693130313832601,8.88444020580057e-13,3.5437588535034997e-09,3.59124212988906e-11,darkgreen
6009,HNRNPA1,protein_coding,0.9805206241982779,0.9355676373202529,0.992483421809806,9.806491627915e-13,1.2188296836836002e-08,5.00412743011435e-16,darkgreen
15188,AL031727.1,processed_pseudogene,0.9802086666024069,0.9325523923100041,0.9222964717192641,1.1124714813422099e-12,1.7404272041218303e-08,5.22598059264895e-08,darkgreen
14851,RPS20P14,processed_pseudogene,0.9785479076331071,0.9611606906195441,0.936943884147081,2.10854383391469e-12,2.3046788602262498e-10,1.03000101303233e-08,darkgreen
3694,RPL24,protein_coding,0.9779903224513822,0.924440536952675,0.986067184128525,2.58448877296896e-12,4.2067192641360097e-08,6.83550344884653e-14,darkgreen
14715,RPL23P8,processed_pseudogene,0.9772738699384621,0.966515482284953,0.9771619022986141,3.3319011823018e-12,7.1537678891239e-11,3.46429534326477e-12,darkgreen
15161,RPL26P19,processed_pseudogene,0.977075940780952,0.918284841065971,0.9618127696078791,3.56903185157178e-12,7.717201767372019e-08,2.01687466814502e-10,darkgreen
6810,RPS2,protein_coding,0.97658543224573,0.9792952454318822,0.987987004065322,4.2212230309847206e-12,1.59149264359007e-12,2.10028295045486e-14,darkgreen
14402,AC044787.1,processed_pseudogene,0.9763166297239929,0.936407533675354,0.9582091259124971,4.62094122295428e-12,1.10032579249603e-08,4.1023719327005705e-10,darkgreen
16437,RPL13AP5,processed_pseudogene,0.975842740012654,0.965973016422497,0.9107312016068292,5.406511733515099e-12,8.121323876108841e-11,1.52777844968184e-07,darkgreen
12664,AC034236.1,processed_pseudogene,0.9755198002830401,0.9453902634208141,0.983151198928244,6.00640592172033e-12,3.3486884772911897e-09,3.09775010106491e-13,darkgreen
7508,AC004453.1,processed_pseudogene,0.9753385067199041,0.9311368035984741,0.9195363580454751,6.36799242110408e-12,2.04575349314951e-08,6.84834007481641e-08,darkgreen
15211,RPS7P10,processed_pseudogene,0.97465756669963,0.9449166973475941,0.874342840795947,7.90140800985451e-12,3.58277305156861e-09,2.09187728360835e-06,darkgreen
